Daily Run Sheet - GSU  -  12/1/2022 to 12/31/2022,,,,,,,,,,,,
Event ID,Guest Count,Building Room,Street Address,SuppliesTime,Food Time,Event Start Time,End Time,Tier,Drop Steward,Pick Up Steward,Event Manager,Select
149746,1,0,775 Comm ,,,4:00 AM,4:00 AM,1,-,,Antonia,
149296,1100,Concessions,285 Babcock ST,,,4:00 AM,4:00 AM,1,-,,,
149214,1,0,child Care Center,4:45 AM,4:45 AM,4:15 AM,4:15 AM,1,-,,,
143797,1,GSU,775 Comm Ave,6:30 AM,6:30 AM,6:30 AM,6:30 AM,1,Luis,NO P/U,,
143798,1,GSU,775 Comm Ave,6:30 AM,6:30 AM,6:30 AM,6:30 AM,1,Luis,NO P/U,,
143799,1,GSU,775 Comm Ave,6:30 AM,6:30 AM,6:30 AM,6:30 AM,1,Luis,NO P/U,,
143800,1,GSU,775 Comm Ave,6:30 AM,6:30 AM,6:30 AM,6:30 AM,1,Antonio,NO P/U,,
143801,1,GSU,775 Comm Ave,6:30 AM,6:30 AM,6:30 AM,6:30 AM,1,Luis,NO P/U,,
143843,1,GSU,775 Comm Ave,7:30 AM,7:30 AM,7:30 AM,7:30 AM,1,Jose,NO P/U,,
143848,1,GSU,775 Comm Ave,7:30 AM,7:30 AM,7:30 AM,7:30 AM,1,Juan,NO P/U,,
143844,1,GSU,775 Comm Ave,7:30 AM,7:30 AM,7:30 AM,7:30 AM,1,Jose,NO P/U,,
149058,12,221,915 Comm Ave,6:45 AM,6:45 AM,7:30 AM,9:00 AM,1,Jose,No P/U,,
143849,1,GSU,775 Comm Ave,7:30 AM,7:30 AM,7:30 AM,7:30 AM,1,Antonio,NO P/U,,
149059,12,221,915 Comm Ave,6:45 AM,6:45 AM,7:30 AM,9:00 AM,1,Antonio,No P/U,,
143847,1,GSU,775 Comm Ave,7:30 AM,7:30 AM,7:30 AM,7:30 AM,1,-,NO P/U,,
143846,1,GSU,775 Comm Ave,7:30 AM,7:30 AM,7:30 AM,7:30 AM,1,-,NO P/U,,
143851,1,GSU,775 Comm Ave,7:30 AM,7:30 AM,7:30 AM,7:30 AM,1,-,NO P/U,,
149173,45,906,8 St Marys,6:45 AM,6:45 AM,7:30 AM,8:30 AM,1,Luis,Jose,,
143845,1,GSU,775 Comm Ave,7:30 AM,7:30 AM,7:30 AM,7:30 AM,1,Jose,NO P/U,,
143850,1,GSU,775 Comm Ave,7:30 AM,7:30 AM,7:30 AM,7:30 AM,1,Juan,NO P/U,,
149187,75,405,72 East Concord,6:30 AM,6:30 AM,8:00 AM,9:30 AM,1,Juan,Juan,,
148960,300,Lobby & Green Room,685 Commonwealth Ave,6:00 AM,6:00 AM,8:00 AM,12:00 PM,3,Luis,Luis,,
148982,65,1st FL,100 East Newton St,7:15 AM,7:15 AM,8:00 AM,9:00 AM,1,Juan,Juan,,
148690,100,Barristers Hall,765 Comm Ave,7:15 AM,7:15 AM,8:00 AM,10:00 AM,1,Luis,Elvin,,
148777,225,9th Flr Alcove,8 St Marys,6:00 AM,7:00 AM,8:00 AM,10:00 AM,2,Antonio,Luis,,
147693,24,Einstein's,725 Comm Ave,0,0,8:00 AM,9:30 AM,1,N/A,No P/U,,
149070,6,PICK UP,775 Comm Ave,7:45 AM,7:45 AM,8:00 AM,12:01:30 AM,1,Flex,No P/U,,
148421,100,Lobby,610 Comm Ave,7:30 AM,7:30 AM,8:15 AM,10:30 AM,1,Jose,Antonio,,
147619,60,PICK UP,725 Comm Ave,0,0,8:30 AM,12:01:30 AM,1,-,,,
148488,40,B18,755 Comm Ave,7:45 AM,7:45 AM,8:30 AM,9:30 AM,1,Luis,No P/U,,
149057,40,0,0,,,8:30 AM,10:00 AM,CTG,-,,,
147620,60,PICK UP,725 Comm Ave,0,0,8:30 AM,12:01:30 AM,1,-,,,
148489,40,B18,755 Comm Ave,7:45 AM,7:45 AM,8:30 AM,9:30 AM,1,Jose,No P/U,,
148423,100,Lobby,610 Comm Ave,6:30 AM,7:30 AM,8:30 AM,10:30 AM,2,Luis,Elvin,,
149189,20,7th Floor Deans Conference Room,72 East Concord,7:00 AM,7:00 AM,8:30 AM,9:30 AM,1,Juan,No P/U,,
149218,22,106A,610 Comm Ave - Kilachand,7:45 AM,7:45 AM,8:30 AM,10:30 AM,1,Fisher,No P/U,,
147621,60,PICK UP,725 Comm Ave,0,0,8:30 AM,12:01:30 AM,1,N/A,No P/U,,
147651,15,105,44 Cummington Mall,8:00 AM,8:00 AM,8:45 AM,9:45 AM,1,Jose,No P/U,,
147630,15,In The Electrical Shop,120 Ashford St,8:00 AM,8:00 AM,8:45 AM,10:00 AM,1,Elvin,No P/U,,
147629,15,In The Electrical Shop,120 Ashford St,8:00 AM,8:00 AM,8:45 AM,10:00 AM,1,Luis,No P/U,,
147628,15,In The Electrical Shop,120 Ashford St,8:00 AM,8:00 AM,8:45 AM,10:00 AM,1,Luis,No P/U,,
148934,55,Dry Hallway next to Wet Pool Inside FitRec,915 Comm Ave,8:00 AM,8:00 AM,8:45 AM,10:00 AM,2,Jose,Jose,,
147332,15,102,24 Cummington Mall,8:15 AM,8:15 AM,9:00 AM,10:00 AM,1,Luis,No P/U,,
148780,35,410,765 Comm Ave,8:15 AM,8:15 AM,9:00 AM,10:00 AM,1,Antonio,No P/U,,
148818,30,Lowly Lounge 2nd FL,264 Bay State Rd,8:15 AM,8:15 AM,9:00 AM,10:00 AM,1,Romero,Romero,,
148270,30,Hiebert Lounge,72 E Concord St,6:30 AM,6:30 AM,9:00 AM,10:00 AM,2,Antonio,Elvin,,
149010,30,Lowly Lounge 2nd FL,264 Bay State Rd,8:15 AM,8:15 AM,9:00 AM,10:00 AM,1,Antonio,Claudia,,
148981,15,326,635 Comm Ave,8:15 AM,8:15 AM,9:00 AM,10:00 AM,1,Antonio,No P/U,,
149025,8,101,152 Bay State Rd,8:15 AM,8:15 AM,9:00 AM,10:00 AM,1,Jose,No P/U,,
146144,15,200,725 Comm Ave,8:15 AM,8:15 AM,9:00 AM,12:00 PM,1,Antonio,No P/U,,
148771,115,Barristers,765 Comm Ave,7:00 AM,8:00 AM,9:00 AM,12:00 PM,2,Antonio,Luis,,
149132,100,Community Center,745 Comm Ave,8:15 AM,8:15 AM,9:00 AM,11:00 AM,1,Antonio,Antonio,,
146145,15,200,725 Comm Ave,8:15 AM,8:15 AM,9:00 AM,12:00 PM,1,Jose,No P/U,,
149065,30,Lowly Lounge 2nd FL,264 Bay State Rd,8:15 AM,8:15 AM,9:00 AM,10:00 AM,1,Luis,Luis,,
148947,120,Lobby,2 Silber Way,8:15 AM,8:15 AM,9:00 AM,10:00 AM,1,Antonio,No P/U,,
147333,15,102,24 Cummington Mall,8:15 AM,8:15 AM,9:00 AM,10:00 AM,1,Luis,No P/U,,
149056,30,Lowly Lounge 2nd FL,264 Bay State Rd,8:15 AM,8:15 AM,9:00 AM,10:00 AM,1,Flex,Claudia,,
148995,50,1503 Faculty Lounge,765 Comm Ave,8:15 AM,8:15 AM,9:00 AM,10:30 AM,1,Luis,Luis,,
149126,15,"1st Floor, Child Care Center",32 Harry Agganis Way,8:15 AM,8:15 AM,9:00 AM,10:00 AM,1,Elvin,No P/U,,
149150,50,613A,100 Bay State Rd,8:00 AM,8:00 AM,9:00 AM,2:00 PM,1,Jose,Jose,,
147334,15,102,24 Cummington Mall,8:15 AM,8:15 AM,9:00 AM,10:00 AM,1,Juan,No P/U,,
149120,20,324,8 St. Marys,8:45 AM,8:45 AM,9:15 AM,12:00 PM,1,Elvin,No P/U,,
148964,60,B23/24,745 Comm Ave,8:30 AM,8:30 AM,9:15 AM,10:30 AM,1,Claudia,Flex,,
144380,24,PICK UP @ Einstein,725 Comm Ave,9:15 AM,9:15 AM,9:30 AM,11:00 AM,1,N/A,No P/U,,
148737,65,Terrace Lounge,775 Comm Ave,8:45 AM,8:45 AM,9:30 AM,12:30 PM,1,Antonio,Antonio,,
