Daily Run Sheet - GSU  -  2/1/2022 to 2/28/2022,,,,,,,,,,,,
Event ID,Guest Count,Building Room,Street Address,SuppliesTime,Food Time,Event Start Time,End Time,Tier,Drop Steward,Pick Up Steward,Event Manager,Select
138017,1,GSU Ballroom & East Balcony,775 Comm Ave,6:00 AM,6:00 AM,6:00 AM,8:00 AM,1,Catering,,Needs Manager ,
138175,1,Various,775 Comm Ave,0,0,6:30 AM,0,CTG,Luis,,,
138176,1,Various,775 Comm Ave,0,0,6:30 AM,0,CTG,Luis,,,
138178,1,Various,775 Comm Ave,0,0,6:30 AM,0,CTG,Luis,,,
138179,1,Various,775 Comm Ave,0,0,6:30 AM,0,CTG,Romero,,,
138202,1,Various,775 Comm Ave,0,0,6:30 AM,0,CTG,Antonio,,,
138197,1,Various,775 Comm Ave,0,0,6:30 AM,0,CTG,Luis,,,
138192,1,Various,775 Comm Ave,0,0,6:30 AM,0,CTG,Luis,,,
138177,1,Various,775 Comm Ave,0,0,6:30 AM,0,CTG,Antonio ,,,
138191,1,Various,775 Comm Ave,0,0,6:30 AM,0,CTG,Luis,,,
138186,1,Various,775 Comm Ave,0,0,6:30 AM,0,CTG,Luis,,,
138185,1,Various,775 Comm Ave,0,0,6:30 AM,0,CTG,Romero,,,
138180,1,Various,775 Comm Ave,0,0,6:30 AM,0,CTG,Romero,,,
138201,1,Various,775 Comm Ave,0,0,6:30 AM,0,CTG,Antonio,,,
138196,1,Various,775 Comm Ave,0,0,6:30 AM,0,CTG,Luis,,,
138193,1,Various,775 Comm Ave,0,0,6:30 AM,0,CTG,Luis,,,
138190,1,Various,775 Comm Ave,0,0,6:30 AM,0,CTG,Luis,,,
138187,1,Various,775 Comm Ave,0,0,6:30 AM,0,CTG,Luis,,,
138184,1,Various,775 Comm Ave,0,0,6:30 AM,0,CTG,Romero,,,
138181,1,Various,775 Comm Ave,0,0,6:30 AM,0,CTG,Romero,,,
138200,1,Various,775 Comm Ave,0,0,6:30 AM,0,CTG,Antonio,,,
138195,1,Various,775 Comm Ave,0,0,6:30 AM,0,CTG,Luis,,,
138194,1,Various,775 Comm Ave,0,0,6:30 AM,0,CTG,-,,,
138189,1,Various,775 Comm Ave,0,0,6:30 AM,0,CTG,Luis S,,,
138188,1,Various,775 Comm Ave,0,0,6:30 AM,0,CTG,Luis,,,
