Daily Run Sheet - GSU  -  5/1/2022 to 5/31/2022,,,,,,,,,,,,
Event ID,Guest Count,Building Room,Street Address,SuppliesTime,Food Time,Event Start Time,End Time,Tier,Drop Steward,Pick Up Steward,Event Manager,Select
141815,75,hallway behind rock wall,915 Comm Ave,5:15 AM,5:15 AM,6:00 AM,7:45 AM,1,Romero,,,
141837,1,Various,775 Comm Ave,0,0,6:30 AM,0,CTG,Jose,,,
141844,1,Various,775 Comm Ave,0,0,6:30 AM,0,CTG,Luis,,,
141847,1,Various,775 Comm Ave,0,0,6:30 AM,0,CTG,Luis,,,
141853,1,Various,775 Comm Ave,0,0,6:30 AM,0,CTG,Luis,,,
141856,1,Various,775 Comm Ave,0,0,6:30 AM,0,CTG,Luis,,,
141860,1,Various,775 Comm Ave,0,0,6:30 AM,0,CTG,Luis,,,
141865,1,Various,775 Comm Ave,0,0,6:30 AM,0,CTG,-,,,
141838,1,Various,775 Comm Ave,0,0,6:30 AM,0,CTG,Antonio,,,
141843,1,Various,775 Comm Ave,0,0,6:30 AM,0,CTG,Luis ,,,
141848,1,Various,775 Comm Ave,0,0,6:30 AM,0,CTG,Luis ,,,
141852,1,Various,775 Comm Ave,0,0,6:30 AM,0,CTG,Luis ,,,
141836,1,Various,775 Comm Ave,0,0,6:30 AM,0,CTG,Romero,,,
141845,1,Various,775 Comm Ave,0,0,6:30 AM,0,CTG,Luis,,,
141846,1,Various,775 Comm Ave,0,0,6:30 AM,0,CTG,Luis,,,
141854,1,Various,775 Comm Ave,0,0,6:30 AM,0,CTG,Luis,,,
141855,1,Various,775 Comm Ave,0,0,6:30 AM,0,CTG,Luis,,,
141861,1,Various,775 Comm Ave,0,0,6:30 AM,0,CTG,Luis,,,
141866,1,Various,775 Comm Ave,0,0,6:30 AM,0,CTG,Romero,,,
141857,1,Various,775 Comm Ave,0,0,6:30 AM,0,CTG,Luis,,,
141859,1,Various,775 Comm Ave,0,0,6:30 AM,0,CTG,Luis,,,
141864,1,Various,775 Comm Ave,0,0,6:30 AM,0,CTG,Luis,,,
141839,1,Various,775 Comm Ave,0,0,6:30 AM,0,CTG,Luis,,,
141842,1,Various,775 Comm Ave,0,0,6:30 AM,0,CTG,Antonio,,,
141849,1,Various,775 Comm Ave,0,0,6:30 AM,0,CTG,Luis,,,
141851,1,Various,775 Comm Ave,0,0,6:30 AM,0,CTG,Luis,,,
141858,1,Various,775 Comm Ave,0,0,6:30 AM,0,CTG,Luis,,,
141862,1,Various,775 Comm Ave,0,0,6:30 AM,0,CTG,Luis,,,
141863,1,Various,775 Comm Ave,0,0,6:30 AM,0,CTG,Juan,,,
141840,1,Various,775 Comm Ave,0,0,6:30 AM,0,CTG,Antonio,,,
141841,1,Various,775 Comm Ave,0,0,6:30 AM,0,CTG,Antonio,,,
141850,1,Various,775 Comm Ave,0,0,6:30 AM,0,CTG,Luis,,,
141593,100,2nd floor Conference ROom,32 Harry Agganis Way,6:15 AM,6:15 AM,7:00 AM,11:00 AM,1,Antonio,Romero,,
141896,12,G13,10 Buick,6:15 AM,6:15 AM,7:00 AM,12:01:30 AM,1,Luis,No P/U,,
142229,25,GSU kitchen,775 Comm Ave,6:15 AM,6:15 AM,7:00 AM,12:01:30 AM,1,Andy Flores,No P/U,,
141796,12,G13,10 Buick St.,6:15 AM,6:15 AM,7:00 AM,12:01:30 AM,1,Luis,No P/U,,
142155,60,Kitchen,285 Babcock St.,6:15 AM,6:15 AM,7:00 AM,12:01:30 AM,1,Luis,No P/U,,
142224,1,4th floor,595 Comm Ave,7:00 AM,7:00 AM,7:00 AM,12:01:30 AM,1,Antonio,No P/U,,
141792,12,G13,10 Buick St,6:15 AM,6:15 AM,7:00 AM,12:01:30 AM,1,Luis,No P/U,,
142258,1,Kenmore Starbucks,526 Comm. Ave,6:30 AM,6:30 AM,7:00 AM,0,1,Rudy,,,
141785,1,Kenmore Starbucks,526 Comm. Ave,6:30 AM,6:30 AM,7:00 AM,12:01:30 AM,1,Rudy,,,
141867,1,Law Cart - 2nd floor,765 Comm Ave - Redstone,6:30 AM,6:30 AM,7:00 AM,0,1,Luis,NO P/U,,
142141,1,Kenmore Starbucks,526 Comm. Ave,6:30 AM,6:30 AM,7:00 AM,12:01:30 AM,1,Rudy,,,
141789,900,FIT REC 3 court gym,915 Comm Ave,5:00 AM,5:00 AM,7:15 AM,10:00 AM,1,Jose/Jen ,,,
141684,40,101,33 Harry Agganis Way,6:30 AM,6:30 AM,7:15 AM,12:01:30 AM,1,Antonio,No P/U,,
142296,30,Deans Conf Room 112,72 East Concord St.,6:30 AM,6:30 AM,7:15 AM,12:01:30 AM,1,Luis,No P/U,,
142305,30,Deans Conf Room 112,72 East Concord St.,6:30 AM,6:30 AM,7:15 AM,12:01:30 AM,1,Luis,No P/U,,
142301,15,2nd Floor,147 Bay State Road,7:30 AM,7:30 AM,7:30 AM,7:30 AM,1,Romero,No P/U,,
142300,15,2nd Floor,147 Bay State Road,7:30 AM,7:30 AM,7:30 AM,7:30 AM,1,Jose,No P/U,,
142195,8,Marsh Chapel - Basement Kitchen,735 Comm Ave,6:45 AM,6:45 AM,7:30 AM,12:01:30 AM,1,Romero,No P/U,,
142225,30,West Campus Kitchen,275 Babcock St.,7:30 AM,7:30 AM,7:30 AM,12:01:30 AM,1,Rudy,No P/U,,
141637,30,L131/132,915 Comm Ave,6:45 AM,6:45 AM,7:30 AM,9:00 AM,1,Jose,No P/U,,
141794,12,G13,10 Buick St.,6:45 AM,6:45 AM,7:30 AM,12:01:30 AM,1,Luis,No P/U,,
132701,50,L131,915 comm,6:30 AM,6:30 AM,7:30 AM,9:00 AM,1,Jen ,,,
141814,1100,FIT REC 3 court gym,915 Comm Ave,6:15 AM,6:15 AM,7:30 AM,10:00 AM,1,Juan/Romero,,,
142001,12,221,915 Comm Ave,6:45 AM,6:45 AM,7:30 AM,9:30 AM,1,Juan,,,
142002,12,221,915 Comm Ave,6:45 AM,6:45 AM,7:30 AM,9:30 AM,1,Jose,,,
