Daily Run Sheet - GSU  -  11/1/2022 to 11/30/2022,,,,,,,,,,,,
Event ID,Guest Count,Building Room,Street Address,SuppliesTime,Food Time,Event Start Time,End Time,Tier,Drop Steward,Pick Up Steward,Event Manager,Select
143775,1,GSU,775 Comm Ave,6:30 AM,6:30 AM,6:30 AM,6:30 AM,1,Luis,NO P/U,,
143776,1,GSU,775 Comm Ave,6:30 AM,6:30 AM,6:30 AM,6:30 AM,1,Luis,NO P/U,,
143777,1,GSU,775 Comm Ave,6:30 AM,6:30 AM,6:30 AM,6:30 AM,1,Luis ,NO P/U,,
143778,1,GSU,775 Comm Ave,6:30 AM,6:30 AM,6:30 AM,6:30 AM,1,Luis ,NO P/U,,
143779,1,GSU,775 Comm Ave,6:30 AM,6:30 AM,6:30 AM,6:30 AM,1,Luis,NO P/U,,
143780,1,GSU,775 Comm Ave,6:30 AM,6:30 AM,6:30 AM,6:30 AM,1,Luis,NO P/U,,
143781,1,GSU,775 Comm Ave,6:30 AM,6:30 AM,6:30 AM,6:30 AM,1,Luis,NO P/U,,
143782,1,GSU,775 Comm Ave,6:30 AM,6:30 AM,6:30 AM,6:30 AM,1,Luis,NO P/U,,
143783,1,GSU,775 Comm Ave,6:30 AM,6:30 AM,6:30 AM,6:30 AM,1,Luis,NO P/U,,
143784,1,GSU,775 Comm Ave,6:30 AM,6:30 AM,6:30 AM,6:30 AM,1,Luis,NO P/U,,
143785,1,GSU,775 Comm Ave,6:30 AM,6:30 AM,6:30 AM,6:30 AM,1,Luis,NO P/U,,
143786,1,GSU,775 Comm Ave,6:30 AM,6:30 AM,6:30 AM,6:30 AM,1,Luis,NO P/U,,
143787,1,GSU,775 Comm Ave,6:30 AM,6:30 AM,6:30 AM,6:30 AM,1,Luis,NO P/U,,
143788,1,GSU,775 Comm Ave,6:30 AM,6:30 AM,6:30 AM,6:30 AM,1,Luis,NO P/U,,
143789,1,GSU,775 Comm Ave,6:30 AM,6:30 AM,6:30 AM,6:30 AM,1,Luis,NO P/U,,
143790,1,GSU,775 Comm Ave,6:30 AM,6:30 AM,6:30 AM,6:30 AM,1,Luis,NO P/U,,
143791,1,GSU,775 Comm Ave,6:30 AM,6:30 AM,6:30 AM,6:30 AM,1,Luis,NO P/U,,
143792,1,GSU,775 Comm Ave,6:30 AM,6:30 AM,6:30 AM,6:30 AM,1,-,NO P/U,,
143793,1,GSU,775 Comm Ave,6:30 AM,6:30 AM,6:30 AM,6:30 AM,1,-,NO P/U,,
143794,1,GSU,775 Comm Ave,6:30 AM,6:30 AM,6:30 AM,6:30 AM,1,Luis,NO P/U,,
143795,1,GSU,775 Comm Ave,6:30 AM,6:30 AM,6:30 AM,6:30 AM,1,Luis,NO P/U,,
143796,1,GSU,775 Comm Ave,6:30 AM,6:30 AM,6:30 AM,6:30 AM,1,Luis,NO P/U,,
148322,1,Stone Lobby,775 Comm Ave,6:00 AM,6:00 AM,7:00 AM,8:00 AM,1,-,,,
148321,1,Stone Lobby,775 Comm Ave,6:00 AM,6:00 AM,7:00 AM,8:00 AM,1,-,,,
148320,1,Stone Lobby,775 Comm Ave,6:00 AM,6:00 AM,7:00 AM,8:00 AM,1,-,,,
148318,1,Stone Lobby,775 Comm Ave,6:00 AM,6:00 AM,7:00 AM,8:00 AM,1,-,,,
147874,75,Stone Lobby,775 Comm Ave,6:45 AM,6:45 AM,7:30 AM,10:15 AM,1,Luis ,,,
147878,200,Ziskind,775 Comm Ave,6:00 AM,6:00 AM,7:30 AM,10:30 AM,2,Antonio,,NEEDS MANAGER,
147895,200,Ziskind,775 Comm Ave,6:00 AM,6:00 AM,7:30 AM,10:30 AM,2,Antonio,,NEEDS MANAGER,
143839,1,GSU,775 Comm Ave,7:30 AM,7:30 AM,7:30 AM,7:30 AM,1,Antonio,NO P/U,,
147887,75,Stone Lobby,775 Comm Ave,6:45 AM,6:45 AM,7:30 AM,10:15 AM,1,Antonio,,,
143835,1,GSU,775 Comm Ave,7:30 AM,7:30 AM,7:30 AM,7:30 AM,1,Antonio,NO P/U,,
148401,75,9th FL Trustee Ballroom,1 Silbur Way,6:45 AM,6:45 AM,7:30 AM,10:30 AM,1,Luis,Juan,,
143836,1,GSU,775 Comm Ave,7:30 AM,7:30 AM,7:30 AM,7:30 AM,1,Jamal,NO P/U,,
143840,1,GSU,775 Comm Ave,7:30 AM,7:30 AM,7:30 AM,7:30 AM,1,Jose,NO P/U,,
143842,1,GSU,775 Comm Ave,7:30 AM,7:30 AM,7:30 AM,7:30 AM,1,-,NO P/U,,
143838,1,GSU,775 Comm Ave,7:30 AM,7:30 AM,7:30 AM,7:30 AM,1,-,NO P/U,,
143837,1,GSU,775 Comm Ave,7:30 AM,7:30 AM,7:30 AM,7:30 AM,1,Antonio,NO P/U,,
143841,1,GSU,775 Comm Ave,7:30 AM,7:30 AM,7:30 AM,7:30 AM,1,Jose,NO P/U,,
148333,15,2nd FL Training Room,25 Buick St,6:45 AM,6:45 AM,7:30 AM,9:00 AM,1,Luis,No P/U,,
148671,55,Dry Hallway next to Wet Pool Inside FitRec,915 Comm Ave,7:00 AM,7:00 AM,7:45 AM,10:30 AM,2,Jose,Romero,,
148672,55,Dry Hallway next to Wet Pool Inside FitRec,915 Comm Ave,7:00 AM,7:00 AM,7:45 AM,10:30 AM,2,Antonio,Antonio,,
148368,30,Main Office,10 Lenox,7:00 AM,7:00 AM,7:45 AM,12:00 PM,1,Luis,Luis,,
148128,200,0,10 Buick St,0,0,7:45 AM,11:00 AM,CTG,-,,,
148254,15,West End Lounge,8 St. Marys St,7:45 AM,7:45 AM,8:00 AM,10:00 AM,1,Luis ,,,
148602,100,Faculty Lounge,765 Comm Ave,7:30 AM,7:30 AM,8:00 AM,8:00 AM,1,-,,,
147899,75,Stone Lobby,775 Comm Ave,7:15 AM,7:15 AM,8:00 AM,10:15 AM,1,Antonio,,,
148370,90,1st FL,100 East Newton St,7:15 AM,7:15 AM,8:00 AM,9:00 AM,1,Jamal,,,
147901,175,Ziskind,775 Comm Ave,6:30 AM,6:30 AM,8:00 AM,10:30 AM,2,Antonio,,NEEDS MANAGER,
148773,100,Faculty Lounge,765 Comm Ave,7:30 AM,7:30 AM,8:00 AM,8:00 AM,1,-,,,
148774,100,Faculty Lounge,765 Comm Ave,7:30 AM,7:30 AM,8:00 AM,8:00 AM,1,-,,,
147642,39,Einstein's,725 Comm Ave ,0,0,8:00 AM,9:30 AM,1,-,,,
147691,24,Einstein's,725 Comm Ave ,0,0,8:00 AM,9:30 AM,1,-,,,
148595,37,906,8 St. Mary's,7:15 AM,7:15 AM,8:00 AM,9:00 AM,1,Luis,Luis,,
148588,37,906,8 St. Mary's,7:15 AM,7:15 AM,8:00 AM,9:00 AM,1,Antonio,Luis,,
147692,24,Einstein's,725 Comm Ave ,0,0,8:00 AM,9:30 AM,1,-,,,
147643,39,Einstein's,725 Comm Ave ,0,0,8:00 AM,9:30 AM,1,-,,,
148099,150,Living Room,43 Hawes,7:30 AM,7:30 AM,8:15 AM,9:15 AM,1,Luis,Luis,,
148098,150,Living Room,43 Hawes,7:30 AM,7:30 AM,8:15 AM,9:00 AM,1,Romero,Juan,,
148459,20,PICK UP,775 Comm Ave,,,8:15 AM,12:01:30 AM,1,-,,,
147616,60,PICK UP,725 Comm Ave,0,0,8:30 AM,12:01:30 AM,1,Luis ,,,
148201,45,Atrium,765 Comm Ave,7:45 AM,7:45 AM,8:30 AM,9:30 AM,1,Romero,Jose,,
148204,45,Atrium,765 Comm Ave,7:45 AM,7:45 AM,8:30 AM,9:30 AM,1,Jose,jose,,
148136,25,Hiebert Lounge,72 E Concord St,7:30 AM,7:30 AM,8:30 AM,10:00 AM,1,Luis,No P/U,,
148216,25,Rm 505,232 Bay St. Rd.,8:00 AM,8:00 AM,8:30 AM,10:00 AM,1,Jose,No P/U,,
148537,20,BUild Lab,730 Comm Ave,7:45 AM,7:45 AM,8:30 AM,9:30 AM,1,Jose,No P/U,,
147617,60,PICK UP,725 Comm Ave,0,0,8:30 AM,12:01:30 AM,1,-,,,
148513,16,Riverside Room,121 Bay State Rd,7:45 AM,7:45 AM,8:30 AM,10:00 AM,1,Luis,No P/U,,
148485,40,B18,755 Comm Ave,7:45 AM,7:45 AM,8:30 AM,9:30 AM,1,Antonio,No P/U,,
148392,10,Conference Cloths,125 Bay State,7:45 AM,7:45 AM,8:30 AM,10:30 AM,1,Jose,No P/U,,
148422,100,Lobby,610 Comm Ave,7:30 AM,7:30 AM,8:30 AM,10:30 AM,2,Antonio,Antonio,,
148610,16,4th Flr Office,143 Bay State Rd,7:45 AM,7:45 AM,8:30 AM,11:00 AM,1,Antonio,No P/U,,
148762,50,GSU ,775 Comm Ave ,,,8:30 AM,8:30 AM,1,-,,,
148557,35,418,765 Comm Ave,7:45 AM,7:45 AM,8:30 AM,9:30 AM,1,Sammy,Sammy,,
147618,60,PICK UP,725 Comm Ave,0,0,8:30 AM,12:01:30 AM,1,-,,,
148487,40,B18,755 Comm Ave,7:45 AM,7:45 AM,8:30 AM,9:30 AM,1,Luis,No P/U,,
148894,25,2nd FL HR Department,25 Buick St,7:45 AM,7:45 AM,8:30 AM,9:30 AM,1,Luis,No P/U,,
148895,25,Children's Center,10 Lenox St,7:45 AM,7:45 AM,8:30 AM,9:30 AM,1,Antonio,No P/U,,
148304,15,407,143 Bay State Rd,7:45 AM,7:45 AM,8:30 AM,12:00 PM,1,Antonio,No P/U,,
147626,15,In The Electrical Shop,120 Ashford St,8:00 AM,8:00 AM,8:45 AM,10:00 AM,1,Luis,No P/U,,
147627,15,In The Electrical Shop,120 Ashford St,8:00 AM,8:00 AM,8:45 AM,10:00 AM,1,Luis,No P/U,,
147650,15,105,44 Cummington Mall,8:00 AM,8:00 AM,8:45 AM,9:45 AM,1,Jamal,No P/U,,
148751,20,1st Flr. (Entrance on Pleasant St.),940 Comm Ave,9:00 AM,9:00 AM,8:45 AM,11:00 AM,1,Antonio,No P/U,,
147625,15,In The Electrical Shop,120 Ashford St,8:00 AM,8:00 AM,8:45 AM,10:00 AM,1,Luis,No P/U,,
147624,15,In The Electrical Shop,120 Ashford St,8:00 AM,8:00 AM,8:45 AM,10:00 AM,1,Luis,No P/U,,
147623,15,In The Electrical Shop,120 Ashford St,8:00 AM,8:00 AM,8:45 AM,10:00 AM,1,Luis,No P/U,,
148436,5,Behavioral Medicine Group Room A,881 Comm Ave,8:00 AM,8:00 AM,8:45 AM,10:00 AM,1,Antonio,,,
148331,55,Dry Hallway Next To WET Pool Inside Fit/Rec,915 Comm Ave,7:00 AM,8:00 AM,9:00 AM,10:30 AM,2,Jose,Jose,,
147328,15,102,24 Cummington Mall,8:15 AM,8:15 AM,9:00 AM,10:00 AM,1,Luis,No P/U,,
148133,10,3rd Flr Estin Rm,771 Comm Ave,8:15 AM,8:15 AM,9:00 AM,10:00 AM,1,Bruce,,,
148305,60,113,5 Cummington Mall,8:15 AM,8:15 AM,9:00 AM,11:00 AM,1,Luis ,Luis,,
146140,15,200,725 Comm Ave,8:15 AM,8:15 AM,9:00 AM,12:00 PM,1,Romero,No P/U,,
148119,60,Dahoud 301,225 Bay State Road,8:15 AM,8:15 AM,9:00 AM,10:30 AM,0,Antonio,Antonio,,
