Daily Run Sheet - GSU  -  10/1/2022 to 10/31/2022,,,,,,,,,,,,
Event ID,Guest Count,Building Room,Street Address,SuppliesTime,Food Time,Event Start Time,End Time,Tier,Drop Steward,Pick Up Steward,Event Manager,Select
143754,1,GSU,775 Comm Ave,6:30 AM,6:30 AM,6:30 AM,6:30 AM,1,Luis,NO P/U,,
143755,1,GSU,775 Comm Ave,6:30 AM,6:30 AM,6:30 AM,6:30 AM,1,Luis,NO P/U,,
143756,1,GSU,775 Comm Ave,6:30 AM,6:30 AM,6:30 AM,6:30 AM,1,Luis,NO P/U,,
143757,1,GSU,775 Comm Ave,6:30 AM,6:30 AM,6:30 AM,6:30 AM,1,Luis,NO P/U,,
143758,1,GSU,775 Comm Ave,6:30 AM,6:30 AM,6:30 AM,6:30 AM,1,Antonio,NO P/U,,
143759,1,GSU,775 Comm Ave,6:30 AM,6:30 AM,6:30 AM,6:30 AM,1,Luis,NO P/U,,
143760,1,GSU,775 Comm Ave,6:30 AM,6:30 AM,6:30 AM,6:30 AM,1,Luis,NO P/U,,
143761,1,GSU,775 Comm Ave,6:30 AM,6:30 AM,6:30 AM,6:30 AM,1,Luis,NO P/U,,
143762,1,GSU,775 Comm Ave,6:30 AM,6:30 AM,6:30 AM,6:30 AM,1,Luis,NO P/U,,
143763,1,GSU,775 Comm Ave,6:30 AM,6:30 AM,6:30 AM,6:30 AM,1,Luis,NO P/U,,
143764,1,GSU,775 Comm Ave,6:30 AM,6:30 AM,6:30 AM,6:30 AM,1,Luis,NO P/U,,
143765,1,GSU,775 Comm Ave,6:30 AM,6:30 AM,6:30 AM,6:30 AM,1,Luis,NO P/U,,
143766,1,GSU,775 Comm Ave,6:30 AM,6:30 AM,6:30 AM,6:30 AM,1,Luis,NO P/U,,
143767,1,GSU,775 Comm Ave,6:30 AM,6:30 AM,6:30 AM,6:30 AM,1,Luis,NO P/U,,
143768,1,GSU,775 Comm Ave,6:30 AM,6:30 AM,6:30 AM,6:30 AM,1,Luis,NO P/U,,
143769,1,GSU,775 Comm Ave,6:30 AM,6:30 AM,6:30 AM,6:30 AM,1,Luis,NO P/U,,
143770,1,GSU,775 Comm Ave,6:30 AM,6:30 AM,6:30 AM,6:30 AM,1,Luis,NO P/U,,
143771,1,GSU,775 Comm Ave,6:30 AM,6:30 AM,6:30 AM,6:30 AM,1,Luis,NO P/U,,
143772,1,GSU,775 Comm Ave,6:30 AM,6:30 AM,6:30 AM,6:30 AM,1,Luis,NO P/U,,
143773,1,GSU,775 Comm Ave,6:30 AM,6:30 AM,6:30 AM,6:30 AM,1,Luis,NO P/U,,
143774,1,GSU,775 Comm Ave,6:30 AM,6:30 AM,6:30 AM,6:30 AM,1,Luis,NO P/U,,
143542,1,"Stone, Ballroom, East Balcony",775 Comm Ave,6:15 AM,6:15 AM,7:00 AM,8:00 AM,1,Antonio,No P/U,,
147699,150,Stone Lobby outside of ballroom,775 Comm Ave,6:30 AM,6:30 AM,7:15 AM,8:15 AM,1,Luis,Romero,,
147700,150,Stone Lobby outside of ballroom,775 Comm Ave,6:30 AM,6:30 AM,7:15 AM,8:15 AM,1,Luis,Antonio,,
147701,150,Stone Lobby outside of ballroom,775 Comm Ave,6:30 AM,6:30 AM,7:15 AM,8:15 AM,1,Luis and Jose,Antonio,,
143827,1,GSU,775 Comm Ave,7:30 AM,7:30 AM,7:30 AM,7:30 AM,1,Jose,NO P/U,,
143832,1,GSU,775 Comm Ave,7:30 AM,7:30 AM,7:30 AM,7:30 AM,1,Juan,NO P/U,,
143831,1,GSU,775 Comm Ave,7:30 AM,7:30 AM,7:30 AM,7:30 AM,1,Antonio,NO P/U,,
143826,1,GSU,775 Comm Ave,7:30 AM,7:30 AM,7:30 AM,7:30 AM,1,Jose,NO P/U,,
143830,1,GSU,775 Comm Ave,7:30 AM,7:30 AM,7:30 AM,7:30 AM,1,Antonio,NO P/U,,
143825,1,GSU,775 Comm Ave,7:30 AM,7:30 AM,7:30 AM,7:30 AM,1,Jose,NO P/U,,
143834,1,GSU,775 Comm Ave,7:30 AM,7:30 AM,7:30 AM,7:30 AM,1,Antonio,NO P/U,,
143829,1,GSU,775 Comm Ave,7:30 AM,7:30 AM,7:30 AM,7:30 AM,1,Antonio,NO P/U,,
