Daily Run Sheet - GSU  -  6/1/2022 to 6/30/2022,,,,,,,,,,,,
Event ID,Guest Count,Building Room,Street Address,SuppliesTime,Food Time,Event Start Time,End Time,Tier,Drop Steward,Pick Up Steward,Event Manager,Select
142312,105,G13,10 Buick St,5:30 AM,5:30 AM,6:30 AM,7:30 AM,2,Luis,Luis,Needs manager,
142624,1,Lobby,610 Comm Ave,6:30 AM,0,6:30 AM,6:30 AM,1,Luis,No P/U,,
142462,207,Buick St. Market place - seating area,10 Buick St,5:30 AM,5:30 AM,6:30 AM,8:00 AM,2,Luis,Luis,Edwidge ,
142473,207,Buick St. Market place - seating area,10 Buick St,5:30 AM,5:30 AM,6:30 AM,8:00 AM,2,Luis,Luis,Edwidge ,
142463,207,Buick St. Market place - seating area,10 Buick St,5:30 AM,5:30 AM,6:30 AM,8:00 AM,2,Luis,Jamal,Edwidge ,
142464,207,Buick St. Market place - seating area,10 Buick St,5:30 AM,5:30 AM,6:30 AM,8:00 AM,2,Luis,Luis,Edwidge ,
142465,207,G13,10 Buick St,5:30 AM,5:30 AM,6:30 AM,8:00 AM,2,Luis,Luis,Edwidge ,
142474,207,G13,10 Buick St,5:30 AM,5:30 AM,6:30 AM,8:00 AM,2,Luis,Sammy,Edwidge ,
142466,207,G13,10 Buick St,5:30 AM,5:30 AM,6:30 AM,8:00 AM,2,Luis,Luis,Edwidge ,
142475,207,G13,10 Buick St,5:30 AM,5:30 AM,6:30 AM,8:00 AM,2,Luis,Romero,Edwidge ,
142467,207,G13,10 Buick St,5:30 AM,5:30 AM,6:30 AM,8:00 AM,2,Luis,Luis,Edwidge,
142738,235,Ziskind,775 Comm Ave,5:00 AM,5:45 AM,6:30 AM,7:30 AM,2,Antonio,No P/U,Jen ,
142742,250,Ziskind,775 Comm Ave,5:00 AM,5:45 AM,6:30 AM,8:00 AM,2,Antonio,No P/U,Jen ,
142468,120,G13,10 Buick St,5:30 AM,5:30 AM,6:30 AM,8:00 AM,2,Luis,Sammy,Edwidge ,
142752,235,Ziskind,775 Comm Ave,5:00 AM,5:45 AM,6:30 AM,8:30 AM,2,Antonio,No P/U,needs manager,
142477,120,G13,10 Buick St,5:30 AM,5:30 AM,6:30 AM,8:00 AM,2,Luis,Antonio,Edwidge ,
142469,120,G13,10 Buick St,5:30 AM,5:30 AM,6:30 AM,8:00 AM,2,Luis,Luis,Needs manager,
142476,120,G13,10 Buick St,5:30 AM,5:30 AM,6:30 AM,8:00 AM,2,Luis,Luis,Edwidge ,
142470,105,G13,10 Buick St,5:30 AM,5:30 AM,6:30 AM,8:00 AM,2,Luis,Antonio,Needs manager,
142892,20,GSU Alley,775 COmm Ave,6:15 AM,6:15 AM,7:00 AM,8:30 AM,1,Romero,No P/U,,
142696,1,Various,775 Comm Ave,0,0,7:00 AM,12:01:30 AM,0,Antonio,No P/U,,
143017,30,Marciano,100 BSR,7:00 AM,7:00 AM,7:00 AM,12:01:30 AM,1,n/a ,No P/U,,
143018,30,Marciano,100 BSR,7:00 AM,7:00 AM,7:00 AM,12:01:30 AM,1,n/a ,No P/U,,
142697,1,Various,775 Comm Ave,0,0,7:00 AM,12:01:30 AM,0,Luis,No P/U,,
143019,30,Marciano,100 BSR,7:00 AM,7:00 AM,7:00 AM,12:01:30 AM,1,n/a ,No P/U,,
142805,24,GSU Alley,775 COmm Ave,6:15 AM,6:15 AM,7:00 AM,8:30 AM,1,Luis,No P/U,,
142695,1,Various,775 Comm Ave,0,0,7:00 AM,12:01:30 AM,0,Jamal,No P/U,,
142683,80,Alley -Basement,775 Comm Ave,5:30 AM,6:00 AM,7:00 AM,8:30 AM,2,Jamal,No P/U,Mia ,
142655,1,Various,775 Comm Ave,0,0,7:00 AM,12:01:30 AM,0,Jamal,No P/U,,
142559,80,Alley -Basement,775 Comm Ave,5:30 AM,6:00 AM,7:00 AM,8:30 AM,2,Antonio ,No P/U,Mia ,
142998,79,1st floor common Room- left side upon entering,575 Comm Ave,6:30 AM,6:30 AM,7:15 AM,12:01:30 AM,1,Jamal,No P/U,,
142703,600,West Campus Dining Hall,West Campus,6:00 AM,6:45 AM,7:30 AM,8:30 AM,2,Antonio,Romero,Mia ,
142684,80,Alley -Basement,775 Comm Ave,5:30 AM,6:00 AM,7:30 AM,8:30 AM,2,Antonio,No P/U,Mia ,
142934,250,Suite 6-158,635 Albany Street,6:30 AM,6:30 AM,7:30 AM,9:30 AM,1,Jamal,Jamal,,
143026,262,CCSR Lobby,CCSR,6:45 AM,6:45 AM,7:30 AM,12:01:30 AM,1,Romero,No P/U,,
143008,262,CCSR Lobby,CCSR,6:45 AM,6:45 AM,7:30 AM,12:01:30 AM,1,Luis,No P/U,,
142685,80,Alley -Basement,775 Comm Ave,6:15 AM,7:00 AM,7:30 AM,9:00 AM,2,Luis,No P/U,Mia ,
142494,40,Barristers,765 Comm Ave,6:45 AM,6:45 AM,7:30 AM,9:30 AM,1,Luis,Jamal,,
142500,40,Barristers,765 Comm Ave,6:45 AM,6:45 AM,7:30 AM,9:30 AM,1,Luis,Luis,,
142568,600,West Campus Dining Hall,West Campus,6:00 AM,6:45 AM,7:30 AM,8:30 AM,2,Luis,Jamal,Mia ,
142803,60,4th floor office,775 Comm Ave,6:45 AM,6:45 AM,7:30 AM,12:01:30 AM,0,Luis,,,
142348,56,906,8 St Marys,6:45 AM,6:45 AM,7:30 AM,8:00 AM,1,Luis,Sammy,,
